Q,Q_1 Thème,Q_2 Thème,Q_3 Thème,Q_4 Thème
baisser ses prix encore plus.,TARIFS,,,
,IMPRESSIONS GENERALES,,,
j ai eu la reponse que j attendais,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
qu ils soient plus reactifs si je n avais pas ete la le technicien aurait coupe le gaz alors que j avais fait la demande de transfert 15 jours avant il y a un probleme de reactivite. ce sont des personnes qui logent qui se seraient retrouvees sans gaz,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
les mises en relations sont longues par telephone.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
baisser les tarifs.,CONTRAT,,,
precisions ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
aucune reponse a ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"personne disponible, efficace et rapide.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
rien,IMPRESSIONS GENERALES,,,
continuer sur cet elan d un service client approprie ce qui n est pas le cas de tous les fournisseur car avoir un contact personnel est appreciable. je suis satisfait du contact et de service.,IMPRESSIONS GENERALES,,,
probleme de mot de passe regularise + acces aux sites,SITE INTERNET - Espace utilisateur,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
reduire les couts.,CONTRAT,,,
.,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"il y a souvent des problemes au niveau de la facturation c est a dire ils ne sont pas a jour. quand c est le moment du reglement, les factures ne sont pas sur l espace client, on est obliges d approvisionner avec une estimation sur la consommation. a ce jour je n ai pas la facture des mois de decembre et de janvier.",FACTURATION,ESPACE CLIENT,,
le traitement a ete long avant de regulariser toutes nos factures. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"nous avons contacte vos services au mois d octobre 2018 afin de regulariser une trop facturation de votre part depuis 5 ans sur des estimations. vous ne pouviez rien faire soit disant car nous etions en prelevement. il fallait attendre le mois de fevrier que le prelevement soit fini. de fevrier jusqua mi avril, je vous ai harcele tous les jours pour que l avoir de 12000 nous soit etablit ( montant qui n est pas une paille!) et que nous ayons enfin le remboursement . ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
j ai eu une reponse tres rapide a ma question.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
je suis satisfaite,IMPRESSIONS GENERALES,,,
qu ils repondant a nos questions. je voudrais plus de communication et d explications.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"portail d ***** ne faisant pas apparaitre les donnees contractuelles a moins de se rendre sur les factures hors les factures etant bimensuelles si celles ci ne sont pas traitees de suite, il n y a donc aucune visibilite des puissances... traitement des donnees pas toujours efficace.",ESPACE CLIENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce qu ils ont repondu a mes attentes tout simplement j ai pose une question on m a repondu et envoye les documents qui correspondaient a ma demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
revenir a la version precedente de notre contrat. vente forcee signalee,IMPRESSIONS GENERALES,,,
formation,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"ecouter le client!!!!!!!! pas me repondre 20 fois la même choise dans 20 different mails... si le client dit que sa ne marche pas, chercher une autre sollution",ORGANISATION-PROCESS,,,
parce que j avais demande deux options et je n en ai eu qu une en puissance de consommation.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"avoir un interlocuteur privilegie qui fasse des syntheses de contrats, des relances regulieres etc. assez confus en structuration *****.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
  ,IMPRESSIONS GENERALES,,,
"remettre la facturation en edi, et sans doute embauchez du personnel pour palier aux demandes diverses",FACTURATION,,,
j ai ete bien reçue et la demande a ete satisfaite.,IMPRESSIONS GENERALES,,,
"d avoir une personne attitree, un charge de clientele attitre qu on puisse appeller facilement.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"l espace client ne fonctionne pas correctement, je n ai pas eu acces aux informations que je souhaitais au travers de cet espace.",ESPACE CLIENT,,,
satisfaite ,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
mon probleme n est pas resolu ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
tres bonne reactivite de la part de notre contact,RELATION CLIENTELE,,,
un meilleur suivi en interne,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ils ont trouve une solution rapide a ma demande. il m ont orientee tout de suite vers les bonnes personnes.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
la communication inter service chez ***** car j ai dû effectue plusieurs relance pour ce changement de coordonnees.,ORGANISATION-PROCESS,ORGANISATION-PROCESS,,
des temps d attente moins longs au telephone et qu il puisse repondre aux demandes par telephone car on perd du temps a les appeler pour nous demander au final d envoyer un mail.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"longueur de cloture de dossier, pas de retour ni de suites malgre de nombreuses relances",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
accelerer les delais de traitements pro,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parfois des difficultes sur le site pour trouver les informations. bonne reactivite des agents par telephone.,RELATION CLIENTELE,ESPACE CLIENT,,
difficulte a entrer en contact avec les services concernes  ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que l entretien a ete benefique dans sa totalite.,IMPRESSIONS GENERALES,,,
qu il n y ait pas ces reponses automatiques c est le robot qui prend la place de l homme . en positif on arrive a joindre les gens c est plus en terme de protocole et de machine que de personnes,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"quand on envoie un mail pour une question, il faudrait qu ils repondent plus rapidement.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
.,IMPRESSIONS GENERALES,,,
******,IMPRESSIONS GENERALES,,,
tout le processus etait fluide du debut a la fin dans le traitement de ce dossier.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un acces telephonique facilite pour les clients residants a l etranger.,RELATION CLIENTELE,,,
par rapport a ma problematique je ne suis pas plus avance j ai eu une reponse qui me dit que le paiement a ete effectue mais je ne le retrouve pas,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"je mets 10 parce que j ai eu un retour rapide. les personnes en ligne sont agreables, et nous accueillent avec le sourire.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"le traitement a ete rapide, mais j aurais prefere avoir un interlocuteur plus direct.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
****** ***** repond a nos demande ça serait bien qu ils mettent l historique de nos demandes du coup aujourd hui ça genere des recherches il y a un mail de reponse qui ne ressemble plus a notre demande et dui coup on perd du temps a rechercher ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
le probleme n est toujours pas resolu !!!!,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
satisfaite de la rapidite de la reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rien on est pas client en directe avec *****.,IMPRESSIONS GENERALES,,,
satisfait,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
avoir des interlocuteurs qui connaissent bien nos contrats. avoir un interlocuteur dediie.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parfait,IMPRESSIONS GENERALES,,,
"parce que j etais a la recherche d un document qui m a ete transmis rapidement, dans un delai satisfaisant. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
*************,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"il y a un enorme probleme d identification du client, c est a dire notre societe. le nom de la societe n est pas le bon sur la confirmation d un rendez vous. je ne suis pas prevenu des rendez vous annules sur l hôtel. de plus, les prelevements automatiques et la facturation sont regulierement annules sans raisons. nous sommes obliges d approvisionner de l argent pour pouvoir  regler entre 4 et 6 mois de facture non payees, car nous ne recevons pas les factures !!!!! et que notre prelevement est annule!!!! on ne me donne aucune explication.",FACTURATION,PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS
repondre,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"que ce soit plus facile de rapprocher un pdl, avoir des recherches plus faciles eventuellemnt une adresse ou un pdl du batiment jai vraiement ça tres complique ",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rien de particulier,IMPRESSIONS GENERALES,,,
faire votre travail correctement  stopper l abonnement a notre domicile la petite bouchie a aixe/vienne 87700 (jamais demande)  ,ALERTES risque client,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
avoir un interlocuteur pour la totalite du suivi du dossier,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
d etre plus reactifs dans le traitement des demandes et de bien lire les demandes par eviter les erreurs.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
la reponse a mis du temps.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
je mets 5 car une partie de ma demande n a pas ete traitee et donc j ai ete penalisee. j ai ouvert 3 contrats. normalement les demandes sont automatiques pour la mise en service mais un contrat n a pas ete communique.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"pour un nouveau point de livraison, il a fallu 6 mois",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce ce que le probleme n est pas pour l instant resolue en partie a cause d ***** et en partie a cause de grdf. je suis plutôt satisfaite du traitement de la demande et la rapidite d ela reponse mais pas dans le solutionnement car le fond n est solutionne.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
diminuer le temps d attente avant d avoir un/une interlocuteur/trice,RELATION CLIENTELE,,,
"je n ai pas pu avoir de conseille au telephone. pas d attente, ça raccrochait automatiquement.",RELATION CLIENTELE,,,
"parce qu avec ***** ça ete complique au debut et ça s est arrange. il y avait quelques problemes et ils ont apporte des modifications. nous avons change de fournisseur et en tant qu agent comptable ce n est pas evident mais c est comme ça , c est la loi.",ALERTES risque client,,,
*,IMPRESSIONS GENERALES,,,
"avoir une qualite de service constante, informer le client lorsque la demande est enregistree et en cours de traitement.",ORGANISATION-PROCESS,,,
"aucun suivi de mes courriels par ***** prouvant notre bonne foi. je n ai jamais le même interlocuteurs de chez *****. je recommence  systematiquement mon histoire, et je renvoi mes courriels ... ***** repond  nous vous confirmons que votre demande reçue le 2018-09-21 pour le point de livraison gi080433copro 14 bd flandrin est passee au statut traitee. alors qu il n en n est rien .... aucune transmission entre les services ***** - ************, charge clientele, et service recouvrement ...........",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,
nous avions signale anterieurement la même chose par courrier et apparemment il n a pas ete traite. ceci  explique cela,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
il a fait ce que j ai demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
pour moi je n ai pas besoin d amelioration avec *****,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
une fois qu on les relance ils agissent.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
il reste toujours des petites choses a ameliorer,IMPRESSIONS GENERALES,,,
"3 semaines passees a essayer de trouver des references internes pour la facturation que personne ni chez suez ni chez ***** ne connait , plusieurs appels au 0437428328 ou une fois on me dit que les refs ne sont pas obligatoires si ne je les connais pas, j envoie ma demande et quelqu un d ***** me rappelle pour me dire que c est obligatoire ! la derniere fois, la personne devait se renseigner et m envoyer un mail, je n ai rien reçu. franchement, c est trop complique. j ai renvoye ce jour la demande de mise en service sans ces references, si ça passe tant mieux, si ça passe pas , j expliquerai a mon chef pourquoi l electricite a ete coupee",CONTRAT,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
être a l ecoute et respecter la demande ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
reactivite,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
les demandes d ouverture de compteur sont parfois trop long,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
plutôt,IMPRESSIONS GENERALES,,,
être plus reactifs gerer les demandes et les urgences ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
le temps d attente pour avoir une personne en ligne.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
******************* et contact direct. un ligne dans un mail c est assez court comme reponse.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
pas de reponse a ma demande ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
le traitemennt a ete tres rapide suite au mail et j ai ete recontacte par telephone ce qui a ete tres agreable d avoir un contact verbal plutôt qu un mail impersonnel. la demande a bien ete comprise.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
satisfaite du la prestation,IMPRESSIONS GENERALES,,,
des reponses plus rapides .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
c est difficile de trouver quelqu un qui puisse me repondre.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"je suis satisfaite, j ai cru que c etait une affaire classe mais il doit y avoir deux comptes crees au même nom et le remboursement s est fait sur l autre compte.",IMPRESSIONS GENERALES,,,
"je n ai pas compris la question 2 (il devait manquer des mots dans la phrase...) et la question 3 semble être en relation. d autre part, je ne suis pas le consommateur, mais une societe exterieure de prestation de service pour votre client.",IMPRESSIONS GENERALES,,,
je n ai pas eu de reponse sur leur façon de proceder a savoir si je vais être rembourse ou si je vais avoir un avoir suite a leur erreur lors du releve de compteur et au prelevement de 4700 euros au lieu d environ 200 euros.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ameliorer le systeme de declaration de demande de depannage. le serveur vocal n est pas suffisamment precis. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
pas d interlocuteur bien defini pas de prise en compte efficace de la demande les relances factures ont continue  bien qu injustifiees,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
la personne etait tout a fait sympathique mais je n ai pas eu l echancier donc je reste avec mes difficultes.,RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION
,IMPRESSIONS GENERALES,,,
"je ne sais pas du tout on a beau dire d aller sur site pour voir la transparence de la facture vous ne savez pas pourquoi la facture a explose car vous avez une consommation de depart et une consommation d arrivee. j en suis arrivee a penser que les facturations c est du vent, c est du n importe quoi. le fond de ma pensee ***** fait de la publicite pour consommer moins et finalement pas du tout au contraire les consommations explosent et ça ne gene personne. veolia et les compagnies d eau vous appellent en cas de surconsommation pour vous dire attention, ils le font pour l eau en cas de surconsommation ils pourraient faire pareil. le montant de ma facture c est pratiquement le triple je m en inquiete je ne sais comment je vais payer cette facture.",CONTRAT,FACTURATION,FACTURATION,
parce que la reponse a ete rapide mais il y a eu un probleme en amont et je n aurai pas dû avoir de souci.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
la rapidite et la qualite de la reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"des conseillers plus reactifs, disposant de creneaux d appels plus important",RELATION CLIENTELE,RELATION CLIENTELE,,
"clarte, n° telephone client unique quel que soit le contrat",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
parce que c etait relativement rapide et que j ai satisfaction.,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
question mal formulee => a quoi ?,IMPRESSIONS GENERALES,,,
les reponses ont ete globales et sans prise en compte precisement du probleme. demarche trop commerciale pour une demande technique. delais dintervention ?????,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"***** mensuel des mises en service des pdl, des demandes d interventions etc ",ORGANISATION-PROCESS,,,
ras ,IMPRESSIONS GENERALES,,,
que l on me rappelle pour clarifier ma demande et y repondre par une personne  competante ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
j ai un peu galere pour trouve la manipulation,ORGANISATION-PROCESS,,,
tres reactif,RELATION CLIENTELE,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
plus de detail sur la facturation ,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
parce que je n ai pas un tableau de suivi fort equivalent dialege.,IMPRESSIONS GENERALES,,,
en l occurrence justifier le fondement d un changement soudain du rythme de facturation sans aucune base legale ou contractuelle. de ce fait  je pense que l assemblee des coproprietaires va envisager un changement de fournisseur d electricite lors de l ag de juin prochain si aucune reaction positive ou un effort commercial ne vient d *****. mon dernier mail a cet egard est reste sans reponse malgre la reactivite de mon interlocutrice par ailleurs.,ALERTES risque client,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS
simplement car j ai reçu un mail me disant que du coup j avais des frais pour le changement de syndic je ne trouve pas ça normal pour un changement de syndic d avoir des frais.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
bien reçu par votre service,RELATION CLIENTELE,,,
helas je ne suis plus clients,IMPRESSIONS GENERALES,,,
je suis globalement satisfaite interlocuteur aimable ,RELATION CLIENTELE,IMPRESSIONS GENERALES,,
"quand il y a des changements de contrats il faudrait une inscription du nouveau contrat plus rapide dans le logiciel de facturation, pour que le client puisse avoir  ses factures.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
qu ***** me reponde de suite a mes demandes dans l heure.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rien,IMPRESSIONS GENERALES,,,
personnel,IMPRESSIONS GENERALES,,,
"la note 3, car j ai contacte  ***** apres avoir reçu une facture mal expliquee, ",FACTURATION,,,
     ,IMPRESSIONS GENERALES,,,
xx,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
m expedier les factures en temps et en heure conformement au marche public signe,FACTURATION,,,
juste repondre aux mails des clients. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
manque l historique des avoirs et factures,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rapidite accueil tres satisfaisant,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
attendons que la prestation soit realisee,IMPRESSIONS GENERALES,,,
que les conseillers ***** soient joignables par telephone. plus de reactivite dans le traitement des demandes.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
pour la rapidite de la reponse. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
..,IMPRESSIONS GENERALES,,,
prestation totalement conforme a l attente.,CONTRAT,,,
parce que le conseiller nous a mal conseille il est revenu sur sa decision en disant que ça ne poouvait pas se faire donc retour a la case depart du coup on a fait appel a quelqu un plus haut place qui a pu comprendre le probleme et le resoudre. apres ça a ete tres bien l electricite est arrivee quelques heures apres et maintenant c e st impeccable et j espere que ça durera ,RELATION CLIENTELE,CONTRAT,TRAITEMENT DE LA DEMANDE-RECLAMATION,
c t bien,IMPRESSIONS GENERALES,,,
je suis un nouveau client !,IMPRESSIONS GENERALES,,,
j ai eu la reponse a ma question tres rapidement et le probleme a ete regle dans l immediat,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
j avais envoye une demande de modification de puissance pour 3 points de livraison le 24 avril et au 14 juin aucune reponse ne m etait parvenue.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
donner plus de references dans les virements et les remboursement au niveaux des libelles des virements.,PAIEMENT,PAIEMENT,,
,IMPRESSIONS GENERALES,,,
facturer les consommations reelles ; pas d estimation !,FACTURATION,,,
le changement d adresse nous avons besoin d une kbis a jour et pour l instant nous ne l avons pas encore reçu donc c est un dossier qui est encore en attente.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"au niveau comptable, mieux gerer les factures *****, nous avons reçu enormement de facture suivi d avoir pour erreur de facturation. nous aurions aimer avoir confiance les yeux fermer. trop de facture manquantes afin de faire le traitement de fin d annee. ",FACTURATION,,,
pour la globalite de la reponse ce qui fait que l on va changer fournisseur . ***** est trop cher .,ALERTES risque client,CONTRAT,,
,IMPRESSIONS GENERALES,,,
la reponse (qui a clôture la demande chez vous) avait deja ete donnee par telephone. nous avons donc repris contact avec vous pour re-ouvrir cette demande.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"il est incomprehensible d arriver au terme du contrat et de ne pas recevoir une offre de renouvellement privilegiee, nous obligeant a denoncer par * avec a* le contrat !!",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
etre pro actif.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un peu plus de reactivite.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
********.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
 ,IMPRESSIONS GENERALES,,,
on m a ouvert un espace client et ça a pu repondre a ma demande.,SITE INTERNET - Espace utilisateur,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
"sur l ensemble de la prestation, pas mal de reactivite.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
,IMPRESSIONS GENERALES,,,
parce que je n ai pas eu de retour depuis de courrier.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
l erreur naurait pas dû se produire au depart car ils ont confondu l adresse du contrat de cadre avec l adresse du client.,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"parce qu il y a eu une reponse rapide, mais qui ne correspondait a ma demande.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
la reponse correspond a mes attentes mais le delai de reponse est un peu long.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
la reponse a ma demande suite a une erreur de facturation a ete rapide mais je considere qu un traitement correct de mon dossier en amont aurait du eviter qu il y ait des erreurs et donc que je sois dans l obligation de faire une demande de rectification.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
,IMPRESSIONS GENERALES,,,
"parce qu ils m ont communique tous les elements qui posaient probleme par rapport a la consommation. et il n y a pas eu de double paiement de notre part, on a regle qu une seule fois, on a eu les elements qui nous ont ete communiques des qu on a demande les pieces, il y a eu une reactivite. ils nous ont recommunique la facture au niveau du chorus, ainsi que les tableaux qui permettaient de visualiser tous les points de facturation du site. ils ont repondu rapidement a nos questions. j ai ete content de leur reactivite et de leur reponse.  ",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
bien,IMPRESSIONS GENERALES,,,
la prestation a ete effectuee dans les delais;,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
qu il me reponde a moi ou du moins que je sois mise en copie. parfois il y a des factures avec un delai de paiement court et j ai seulement 5 ou 6 jours pour faire valider une facture et faire declencher le paiement.,FACTURATION,ORGANISATION-PROCESS,,
xx,IMPRESSIONS GENERALES,,,
parce que tout s est bien passe. ,IMPRESSIONS GENERALES,,,
vous avez ete tres reactifs c est tout pour moi.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
j aurais mis 10 si j avais reçu le jour même,IMPRESSIONS GENERALES,,,
qu il s assure que la puissance soit adaptee au depart. etres plus reactifs sur les delais d intervention. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
,IMPRESSIONS GENERALES,,,
"car le probleme n a pas encore ete resolu. j aurais donne 0 si je n avais pas reçu le mail me disant que la dame ne pouvait pas appeler a l etranger, mais je n ai plus de suite a notre echange de mails.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
"car je n ai rien a dire, personne tres agreable et efficace!",RELATION CLIENTELE,RELATION CLIENTELE,,
parce que depuis le 02/01 /2017 on a des soucis avec ***** et a ce jour les 3/4 ne sont pas resolus aucun suivi /des maisl sans retour on est completement perdusµ. on a pris la peine de faire des o s de changement et il y a encore des batiments pour lesquekls on a baisse les bras aucun changement n  ete fait. quand on a eu la chance que le changement soit effectue il faut se battre pour qu il apparaisse sur le compte en ligne votre site il est nul.,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
parce que des fois j ai un peu de mlal a joindre les bons interlocuteurs ou il faut que je relance.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
en attente d une reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
un releve de compte ou on pourrait voir toutes nos factures car c est un peu complique a ce jour car nous avons plusieurs immeubles. nous avons ça chez veolia.,FACTURATION,,,
"je ne connais pas ce qui est derriere, la technicite. souvent vous sous traitez, vous pouvez faire appel a grdf je ne connais pas la procedure ça serait bien d expliquer au client comment ça fonctionne. ",ORGANISATION-PROCESS,,,
reclamation pas resolue dans les temps ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
reponse claire aux questions posees,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"il faudrait que ***** prenne en compte les demandes des clients, qu on ne soit pas oblige de rappeler sans cesse et attendre 2 ans, de tomber sur la bonne personne pour que notre demande soit prise en consideration.",ORGANISATION-PROCESS,,,
"la qualite , efficacite , rapidite.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce que lorsque j appelle le service je suis toujours bien accueilli mais il n y a pas de suite et ça depuis l annee 2017. la prise en charge est bonne mais pas le suivi.,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
"fournir aux collectivites le numero du service qui s occupe des collectivites pour eviter de repasser par le standart comme les particuliers, cela permettrait de gagner du temps.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
